PART_ID,TRIAL,TRAINING,PATTERN,CORRECT,CONFIDENCE,LATENCY
11M,1,1,1,0,-,1.1634407000019564
11M,1,0,2,0,-,1.2887338000000454
11M,2,0,3,-,-,1.299782599999162
11M,1,0,2,0,['4'],1.6559897999977693
11M,2,0,2,1,['3'],2.743456600001082
