PART_ID,TRIAL,TRAINING,PATTERN,CORRECT,LATENCY
56M43,1,1,1,1,0.8660158999999794
56M43,2,1,2,1,0.9630435999999918
56M43,3,1,1,1,0.5441816000000017
56M43,4,1,2,1,0.8287086999999929
56M43,5,1,1,1,0.5413176999999223
56M43,6,1,3,1,2.673581899999931
56M43,7,1,1,1,1.205374900000038
56M43,8,1,2,1,0.47845459999996365
56M43,9,1,2,1,0.7010017000000062
56M43,10,1,1,1,0.32029259999990245
56M43,1,0,2,1,0.7260390000000143
56M43,2,0,1,1,0.40705930000001445
56M43,3,0,2,1,0.510994299999993
56M43,4,0,1,1,0.3625313999999662
56M43,5,0,3,1,0.8566195999999309
56M43,6,0,2,1,0.8520314999999528
56M43,7,0,1,1,0.5453896000000213
56M43,8,0,3,1,0.953369099999918
56M43,9,0,2,1,0.5366247999999132
56M43,10,0,2,1,0.37834110000005694
56M43,11,0,1,1,0.9884501999999884
56M43,12,0,2,1,0.49602310000000216
56M43,13,0,3,1,0.175524800000062
56M43,14,0,2,1,1.1583631999999398
56M43,15,0,3,0,1.422023500000023
56M43,1,0,2,0,0.6827034000000367
56M43,2,0,2,0,0.5490290999998706
56M43,3,0,1,0,0.5637781000000359
56M43,4,0,1,1,1.1835837000000993
56M43,5,0,1,0,0.922644800000171
56M43,6,0,1,0,0.8416347999998379
56M43,7,0,2,1,1.043802899999946
56M43,8,0,3,1,1.688203200000089
56M43,9,0,1,1,1.6843861999998353
56M43,10,0,3,1,1.4918600999999398
56M43,11,0,1,0,1.7136478999998417
56M43,12,0,3,-,1.4101292999998805
56M43,13,0,2,0,1.0744951000001493
56M43,14,0,1,0,1.8583109999999579
56M43,15,0,2,0,1.5751212999998643
