PART_ID,TRIAL,TRAINING,PATTERN,CORRECT,LATENCY
3M5,1,1,1,-,-
3M5,2,1,3,1,1.1439375999998447
3M5,3,1,1,1,0.318994000001112
3M5,4,1,3,1,0.6067032999999356
3M5,5,1,3,-,-
3M5,6,1,2,1,0.4858809999986988
3M5,7,1,2,1,0.2440430999995442
3M5,8,1,3,0,0.6519064000003709
3M5,9,1,1,1,0.6158014000011462
3M5,10,1,2,1,0.5363788000013301
3M5,1,0,3,0,0.9643581999989692
3M5,2,0,2,1,0.4256738999993104
3M5,3,0,3,1,1.1100982999996631
3M5,4,0,2,1,0.6019608000005974
3M5,5,0,1,1,0.266544399999475
3M5,6,0,2,0,0.3176428999995551
3M5,7,0,1,1,1.0557361000010133
3M5,8,0,1,1,0.36348869999892486
3M5,9,0,3,0,0.661589899998944
3M5,10,0,1,1,0.4245780000001105
3M5,11,0,2,1,0.24259639999945648
3M5,12,0,3,1,0.6504093000003195
3M5,13,0,1,1,0.8141285999990941
3M5,14,0,1,-,-
3M5,15,0,2,1,0.5453048999988823
3M5,1,0,1,1,0.41072259999964444
3M5,2,0,3,1,0.23606070000096224
3M5,3,0,1,1,0.3448614000008092
3M5,4,0,3,1,1.3202300000011746
3M5,5,0,2,1,0.4278919999997015
3M5,6,0,3,0,0.8747804000013275
3M5,7,0,3,1,1.0891631000013149
3M5,8,0,3,0,1.0878188999995473
3M5,9,0,2,1,0.4683097999986785
3M5,10,0,3,0,0.5720428999993601
3M5,11,0,3,-,0.9403471000005084
3M5,12,0,1,1,0.4919835999971838
3M5,13,0,3,1,0.8425176000018837
3M5,14,0,1,1,0.5191921000005095
3M5,15,0,2,1,0.43863689999852795
