PART_ID,TRIAL,CONTROL,PATTERN,CORRECT,LATENCY
f,1,1,0,1,0.4498541000066325
f,2,1,0,1,0.3558527999994112
f,3,1,4,1,0.339055799995549
f,4,1,4,1,0.36731699999654666
f,5,1,0,1,0.30337979999603704
f,6,1,4,1,0.3317363999958616
f,7,1,0,1,0.3537254999973811
f,8,1,0,1,0.42150630000105593
f,9,1,4,1,0.29343940000399016
f,10,1,4,1,0.29956240000319667
f,11,1,0,1,0.34531970000534784
f,12,1,0,1,0.3078088999900501
f,13,1,0,1,0.40185709999059327
f,14,1,4,1,0.240521899992018
f,15,1,4,1,0.33127799999783747
f,16,1,0,1,0.29515629999514204
f,17,1,0,1,0.27189040000666864
f,18,1,4,1,0.31027800000447314
f,19,1,0,1,0.3701036999991629
f,20,1,4,1,0.3210566000052495
f,21,1,4,1,0.32126749999588355
f,22,1,4,1,0.37731320000602864
f,23,1,0,1,0.3584910000063246
f,24,1,4,1,0.3493379999999888
